Tweets,Case_Folding,Data_Cleaning,without_stopwords,Tokenizing,tweet_normalized,stemmed
"Kembali ke scroll scroll gofood grabfood shopeefood aja terus tapi ndak mood makan. 

Gitu terus sampe nanti sore.","kembali ke scroll scroll gofood grabfood shopeefood aja terus tapi ndak mood makan. 

gitu terus sampe nanti sore.",kembali ke scroll scroll gofood grabfood shopeefood aja terus tapi ndak mood makan gitu terus sampe nanti sore,scroll scroll gofood grabfood shopeefood ndak mood makan gitu sampe sore,"['scroll', 'scroll', 'gofood', 'grabfood', 'shopeefood', 'ndak', 'mood', 'makan', 'gitu', 'sampe', 'sore']",scroll scroll gofood grabfood shopeefood ndak mood makan gitu sampe sore,"['scroll', 'scroll', 'gofood', 'grabfood', 'shopeefood', 'ndak', 'mood', 'makan', 'gitu', 'sampe', 'sore']"
"Seberapa gak gunanya kegiatan lo dihari weekend?
Gue scroll shopeefood berjam-jam tp gak ada yg di checkout","seberapa gak gunanya kegiatan lo dihari weekend?
gue scroll shopeefood berjam-jam tp gak ada yg di checkout",seberapa gak gunanya kegiatan lo dihari weekend gue scroll shopeefood berjamjam tp gak ada yg di checkout,gunanya kegiatan lo dihari weekend gue scroll shopeefood berjamjam tp checkout,"['gunanya', 'kegiatan', 'lo', 'dihari', 'weekend', 'gue', 'scroll', 'shopeefood', 'berjamjam', 'tp', 'checkout']",gunanya kegiatan lo dihari weekend saya scroll shopeefood berjamjam tapi checkout,"['guna', 'giat', 'lo', 'hari', 'weekend', 'saya', 'scroll', 'shopeefood', 'berjamjam', 'tapi', 'checkout']"
"andai aku nagita slavina, mo pesen shopeefood pasti ga nunggu voucher promo dulu🤣","andai aku nagita slavina, mo pesen shopeefood pasti ga nunggu voucher promo dulu🤣",andai aku nagita slavina mo pesen shopeefood pasti ga nunggu voucher promo dulu,andai nagita slavina mo pesen shopeefood nunggu voucher promo,"['andai', 'nagita', 'slavina', 'mo', 'pesen', 'shopeefood', 'nunggu', 'voucher', 'promo']",andai nagita slavina mo pesan shopeefood nunggu voucher promo,"['andai', 'nagita', 'slavina', 'mo', 'pesan', 'shopeefood', 'nunggu', 'voucher', 'promo']"
Bj takde coffee ke aduh kena game dgn ShopeeFood,bj takde coffee ke aduh kena game dgn shopeefood,bj takde coffee ke aduh kena game dgn shopeefood,bj takde coffee aduh kena game shopeefood,"['bj', 'takde', 'coffee', 'aduh', 'kena', 'game', 'shopeefood']",bj takde coffee aduh kena game shopeefood,"['bj', 'takde', 'coffee', 'aduh', 'kena', 'game', 'shopeefood']"
"pesanan @shopeefood_id  gak datang uang hilang lah dan pesanan gak datang. 

lalu cs @ShopeeID menyerah dan minta email sebagai prosedur yang saya sudah hapal banget. 

Drivernya? 
keberatan... duitnya gak mau dibalikin. 
yang penting dia dapat feenya.","pesanan @shopeefood_id  gak datang uang hilang lah dan pesanan gak datang. 

lalu cs @shopeeid menyerah dan minta email sebagai prosedur yang saya sudah hapal banget. 

drivernya? 
keberatan... duitnya gak mau dibalikin. 
yang penting dia dapat feenya.",pesanan id gak datang uang hilang lah dan pesanan gak datang lalu cs menyerah dan minta email sebagai prosedur yang saya sudah hapal banget drivernya keberatan duitnya gak mau dibalikin yang penting dia dapat feenya,pesanan id uang hilang pesanan cs menyerah email prosedur hapal banget drivernya keberatan duitnya dibalikin feenya,"['pesanan', 'id', 'uang', 'hilang', 'pesanan', 'cs', 'menyerah', 'email', 'prosedur', 'hapal', 'banget', 'drivernya', 'keberatan', 'duitnya', 'dibalikin', 'feenya']",pesanan id uang hilang pesanan cs menyerah email prosedur hapal banget drivernya keberatan duitnya dibalikin feenya,"['pesan', 'id', 'uang', 'hilang', 'pesan', 'cs', 'serah', 'email', 'prosedur', 'hapal', 'banget', 'drivernya', 'berat', 'duit', 'dibalikin', 'feenya']"
"pesanan yang kedua @shopeefood_id  pagi-pagi ini driver klik sudah di resto. apa yang terjadi setelah stgh jam nunggu? driver chat baru nemu toko, tokonya tutup...

WHAT T---

Minta saya batalin? ya gak bisa. saya chat cs @ShopeeID  LAMA BANGET PROSEDURNYA....
AKHIRNYA APA?","pesanan yang kedua @shopeefood_id  pagi-pagi ini driver klik sudah di resto. apa yang terjadi setelah stgh jam nunggu? driver chat baru nemu toko, tokonya tutup...

what t---

minta saya batalin? ya gak bisa. saya chat cs @shopeeid  lama banget prosedurnya....
akhirnya apa?",pesanan yang kedua id pagipagi ini driver klik sudah di resto apa yang terjadi setelah stgh jam nunggu driver chat baru nemu toko tokonya tutup what t minta saya batalin ya gak bisa saya chat cs lama banget prosedurnya akhirnya apa,pesanan id pagipagi driver klik resto stgh jam nunggu driver chat nemu toko tokonya tutup what batalin chat cs banget prosedurnya,"['pesanan', 'id', 'pagipagi', 'driver', 'klik', 'resto', 'stgh', 'jam', 'nunggu', 'driver', 'chat', 'nemu', 'toko', 'tokonya', 'tutup', 'what', 'batalin', 'chat', 'cs', 'banget', 'prosedurnya']",pesanan id pagipagi driver klik resto stgh jam nunggu driver chat nemu toko tokonya tutup what batalin chat cs banget prosedurnya,"['pesan', 'id', 'pagipagi', 'driver', 'klik', 'resto', 'stgh', 'jam', 'nunggu', 'driver', 'chat', 'nemu', 'toko', 'toko', 'tutup', 'what', 'batalin', 'chat', 'cs', 'banget', 'prosedur']"
Baru kenal aja udah minta dikirimin ShopeeFood. Dasar mental pengemis! 😒🙃,baru kenal aja udah minta dikirimin shopeefood. dasar mental pengemis! 😒🙃,baru kenal aja udah minta dikirimin shopeefood dasar mental pengemis,kenal udah dikirimin shopeefood dasar mental pengemis,"['kenal', 'udah', 'dikirimin', 'shopeefood', 'dasar', 'mental', 'pengemis']",kenal udah dikirimin shopeefood dasar mental pengemis,"['kenal', 'udah', 'dikirimin', 'shopeefood', 'dasar', 'mental', 'emis']"
"BEAR BOBBA LOWOKWARU

Boba Brown Sugar 13K #BigCup22oz
50% Disc #ShopeeFood #GrabFood #GoFood

🌐https://t.co/6fplAdGVlD

#InfoKulinerMalang
#LaporLaper
#KulinerHitsMalang
#MalangCulinary
#MalangKuliner
#BobaMalang
#KopiMalang 
#EsTehMalang
#MojitoMalang
#Grab
#GoJek
#Shopee
#BTS https://t.co/AHDAMR3pFL","bear bobba lowokwaru

boba brown sugar 13k #bigcup22oz
50% disc #shopeefood #grabfood #gofood

🌐https://t.co/6fpladgvld

#infokulinermalang
#laporlaper
#kulinerhitsmalang
#malangculinary
#malangkuliner
#bobamalang
#kopimalang 
#estehmalang
#mojitomalang
#grab
#gojek
#shopee
#bts https://t.co/ahdamr3pfl",bear bobba lowokwaru boba brown sugar k disc,bear bobba lowokwaru boba brown sugar k disc,"['bear', 'bobba', 'lowokwaru', 'boba', 'brown', 'sugar', 'k', 'disc']",bear bobba lowokwaru boba brown sugar k disc,"['bear', 'bobba', 'lowokwaru', 'boba', 'brown', 'sugar', 'k', 'disc']"
"@uchiha201 Buka di google, ""cara daftar jadi shopeefood driver""","@uchiha201 buka di google, ""cara daftar jadi shopeefood driver""",buka di google cara daftar jadi shopeefood driver,buka google daftar shopeefood driver,"['buka', 'google', 'daftar', 'shopeefood', 'driver']",buka google daftar shopeefood driver,"['buka', 'google', 'daftar', 'shopeefood', 'driver']"
"@nnirwansyah Buka aja google, ""cara daftar shopeefood driver""","@nnirwansyah buka aja google, ""cara daftar shopeefood driver""",buka aja google cara daftar shopeefood driver,buka google daftar shopeefood driver,"['buka', 'google', 'daftar', 'shopeefood', 'driver']",buka google daftar shopeefood driver,"['buka', 'google', 'daftar', 'shopeefood', 'driver']"
[Askrl] rata2 penghasilan driver shopeefood berapa ya sehari,[askrl] rata2 penghasilan driver shopeefood berapa ya sehari,askrl rata penghasilan driver shopeefood berapa ya sehari,askrl penghasilan driver shopeefood sehari,"['askrl', 'penghasilan', 'driver', 'shopeefood', 'sehari']",askrl penghasilan driver shopeefood sehari,"['askrl', 'hasil', 'driver', 'shopeefood', 'hari']"
Jog rata2 penghasilan driver shopeefood berapa ya sehari,jog rata2 penghasilan driver shopeefood berapa ya sehari,jog rata penghasilan driver shopeefood berapa ya sehari,jog penghasilan driver shopeefood sehari,"['jog', 'penghasilan', 'driver', 'shopeefood', 'sehari']",jog penghasilan driver shopeefood sehari,"['jog', 'hasil', 'driver', 'shopeefood', 'hari']"
"Jiakh, shopeefood dah ada akhirnya","jiakh, shopeefood dah ada akhirnya",jiakh shopeefood dah ada akhirnya,jiakh shopeefood dah,"['jiakh', 'shopeefood', 'dah']",jiakh shopeefood dah,"['jiakh', 'shopeefood', 'dah']"
"Nasib baik Erna kabo tentang ShopeeFood. Setidaknya boleh klaim penghantaran percuma, jadi aku cuma bayar harga makanan jelah. Kalau takdo baucer, aku rela makan makanan kafe.","nasib baik erna kabo tentang shopeefood. setidaknya boleh klaim penghantaran percuma, jadi aku cuma bayar harga makanan jelah. kalau takdo baucer, aku rela makan makanan kafe.",nasib baik erna kabo tentang shopeefood setidaknya boleh klaim penghantaran percuma jadi aku cuma bayar harga makanan jelah kalau takdo baucer aku rela makan makanan kafe,nasib erna kabo shopeefood klaim penghantaran bayar harga makanan jelah takdo baucer rela makan makanan kafe,"['nasib', 'erna', 'kabo', 'shopeefood', 'klaim', 'penghantaran', 'bayar', 'harga', 'makanan', 'jelah', 'takdo', 'baucer', 'rela', 'makan', 'makanan', 'kafe']",nasib erna kabo shopeefood klaim penghantaran bayar harga makanan jelah takdo baucer rela makan makanan kafe,"['nasib', 'erna', 'kabo', 'shopeefood', 'klaim', 'hantar', 'bayar', 'harga', 'makan', 'jelah', 'takdo', 'baucer', 'rela', 'makan', 'makan', 'kafe']"
"Jangan lupa Klaim Vocher ShopeeFood km 😗

https://t.co/tCA2ilgUvH","jangan lupa klaim vocher shopeefood km 😗

https://t.co/tca2ilguvh",jangan lupa klaim vocher shopeefood km,lupa klaim vocher shopeefood km,"['lupa', 'klaim', 'vocher', 'shopeefood', 'km']",lupa klaim vocher shopeefood km,"['lupa', 'klaim', 'vocher', 'shopeefood', 'km']"
"lunas ya, dicoba aja kalo bisa ya rejeki kalo ga bisa ya shopeefood aja😂✌ https://t.co/aQxkPD0Jze","lunas ya, dicoba aja kalo bisa ya rejeki kalo ga bisa ya shopeefood aja😂✌ https://t.co/aqxkpd0jze",lunas ya dicoba aja kalo bisa ya rejeki kalo ga bisa ya shopeefood aja,lunas dicoba rejeki shopeefood,"['lunas', 'dicoba', 'rejeki', 'shopeefood']",lunas dicoba rejeki shopeefood,"['lunas', 'coba', 'rejeki', 'shopeefood']"
"Shopeefood parah sih ini emang, baru kali ini beli mekdi harganya turun jauh dari harga aslinya","shopeefood parah sih ini emang, baru kali ini beli mekdi harganya turun jauh dari harga aslinya",shopeefood parah sih ini emang baru kali ini beli mekdi harganya turun jauh dari harga aslinya,shopeefood parah emang kali beli mekdi harganya turun harga aslinya,"['shopeefood', 'parah', 'emang', 'kali', 'beli', 'mekdi', 'harganya', 'turun', 'harga', 'aslinya']",shopeefood parah emang kali beli mekdi harganya turun harga aslinya,"['shopeefood', 'parah', 'emang', 'kali', 'beli', 'mekdi', 'harga', 'turun', 'harga', 'asli']"
"Rencana kirim makanan pake shopeefood, eh ketiduran :(
Astagaaa antara mo ngakak sm gaenak kan janji mo pesenin makan. Bisa2 nya ketidurannn wkwk 🤣🤣🤣","rencana kirim makanan pake shopeefood, eh ketiduran :(
astagaaa antara mo ngakak sm gaenak kan janji mo pesenin makan. bisa2 nya ketidurannn wkwk 🤣🤣🤣",rencana kirim makanan pake shopeefood eh ketiduran astagaaa antara mo ngakak sm gaenak kan janji mo pesenin makan bisa nya ketidurannn wkwk,rencana kirim makanan pake shopeefood eh ketiduran astagaaa mo ngakak sm gaenak janji mo pesenin makan ketidurannn wkwk,"['rencana', 'kirim', 'makanan', 'pake', 'shopeefood', 'eh', 'ketiduran', 'astagaaa', 'mo', 'ngakak', 'sm', 'gaenak', 'janji', 'mo', 'pesenin', 'makan', 'ketidurannn', 'wkwk']",rencana kirim makanan pake shopeefood eh ketiduran astagaaa mo tertawa sm gaenak janji mo pesenin makan ketidurannn tertawa,"['rencana', 'kirim', 'makan', 'pake', 'shopeefood', 'eh', 'tidur', 'astagaaa', 'mo', 'tertawa', 'sm', 'gaenak', 'janji', 'mo', 'senin', 'makan', 'ketidurannn', 'tertawa']"
"@jogmfs Order shopeefood warmindo elephant nder, aku lgi ngalong disini, kali aja nyantol, mayan bantu tutup poin","@jogmfs order shopeefood warmindo elephant nder, aku lgi ngalong disini, kali aja nyantol, mayan bantu tutup poin",order shopeefood warmindo elephant nder aku lgi ngalong disini kali aja nyantol mayan bantu tutup poin,order shopeefood warmindo elephant nder lgi ngalong kali nyantol mayan bantu tutup poin,"['order', 'shopeefood', 'warmindo', 'elephant', 'nder', 'lgi', 'ngalong', 'kali', 'nyantol', 'mayan', 'bantu', 'tutup', 'poin']",order shopeefood warmindo elephant nder lgi ngalong kali nyantol mayan bantu tutup poin,"['order', 'shopeefood', 'warmindo', 'elephant', 'nder', 'lgi', 'ngalong', 'kali', 'nyantol', 'mayan', 'bantu', 'tutup', 'poin']"
@uniquerls @sicutgeulis @shopeefood_id Bakal ada di bulan november / desember kak ditunggu aja,@uniquerls @sicutgeulis @shopeefood_id bakal ada di bulan november / desember kak ditunggu aja,id bakal ada di bulan november desember kak ditunggu aja,id november desember kak ditunggu,"['id', 'november', 'desember', 'kak', 'ditunggu']",id november desember kak ditunggu,"['id', 'november', 'desember', 'kak', 'tunggu']"
"ada voucher shopeefood juga
disc 50% max 18k 
disc 30% max 18k
udah sama vc gratis ongkirnya
fee 5k ya btw soalnya 2 vc yg dipake
vc shopeefood 
#zonauang #zonajajan #zonaba https://t.co/UPUv5ZNT1G","ada voucher shopeefood juga
disc 50% max 18k 
disc 30% max 18k
udah sama vc gratis ongkirnya
fee 5k ya btw soalnya 2 vc yg dipake
vc shopeefood 
#zonauang #zonajajan #zonaba https://t.co/upuv5znt1g",ada voucher shopeefood juga disc max k disc max k udah sama vc gratis ongkirnya fee k ya btw soalnya vc yg dipake vc shopeefood,voucher shopeefood disc max k disc max k udah vc gratis ongkirnya fee k btw vc dipake vc shopeefood,"['voucher', 'shopeefood', 'disc', 'max', 'k', 'disc', 'max', 'k', 'udah', 'vc', 'gratis', 'ongkirnya', 'fee', 'k', 'btw', 'vc', 'dipake', 'vc', 'shopeefood']",voucher shopeefood disc max k disc max k udah vc gratis ongkirnya fee k btw vc dipake vc shopeefood,"['voucher', 'shopeefood', 'disc', 'max', 'k', 'disc', 'max', 'k', 'udah', 'vc', 'gratis', 'ongkirnya', 'fee', 'k', 'btw', 'vc', 'dipake', 'vc', 'shopeefood']"
"Apaka warung q harus kaya gini? 😂 
Udah nebak orderan pake nama cust krna driver pake jas gojek, ternyata dia ambil orderan shopeefood https://t.co/eMQ1D0fn8K","apaka warung q harus kaya gini? 😂 
udah nebak orderan pake nama cust krna driver pake jas gojek, ternyata dia ambil orderan shopeefood https://t.co/emq1d0fn8k",apaka warung q harus kaya gini udah nebak orderan pake nama cust krna driver pake jas gojek ternyata dia ambil orderan shopeefood,apaka warung q kaya gini udah nebak orderan pake nama cust krna driver pake jas gojek ambil orderan shopeefood,"['apaka', 'warung', 'q', 'kaya', 'gini', 'udah', 'nebak', 'orderan', 'pake', 'nama', 'cust', 'krna', 'driver', 'pake', 'jas', 'gojek', 'ambil', 'orderan', 'shopeefood']",apaka warung q kaya gini udah nebak orderan pake nama cust krna driver pake jas gojek ambil orderan shopeefood,"['apaka', 'warung', 'q', 'kaya', 'gin', 'udah', 'nebak', 'order', 'pake', 'nama', 'cust', 'krna', 'driver', 'pake', 'jas', 'gojek', 'ambil', 'order', 'shopeefood']"
"@deakrn_ @sbyfess Ndang dibuka shopeefood e wes awe awe
Scroll sejam sek trs keturon 👍","@deakrn_ @sbyfess ndang dibuka shopeefood e wes awe awe
scroll sejam sek trs keturon 👍",ndang dibuka shopeefood e wes awe awe scroll sejam sek trs keturon,ndang dibuka shopeefood e wes awe awe scroll sejam sek trs keturon,"['ndang', 'dibuka', 'shopeefood', 'e', 'wes', 'awe', 'awe', 'scroll', 'sejam', 'sek', 'trs', 'keturon']",ndang dibuka shopeefood e wes awe awe scroll sejam sek trs keturon,"['ndang', 'buka', 'shopeefood', 'e', 'wes', 'awe', 'awe', 'scroll', 'jam', 'sek', 'trs', 'keturon']"
"@ShopeeID @ShopeeCare hoee admin, ini kenapa deh kok akun aku tiba tiba dibatasi??? Padahal terakhir cuma pesen shopeefood. Gimanaaa nih bisa balik gaaa????","@shopeeid @shopeecare hoee admin, ini kenapa deh kok akun aku tiba tiba dibatasi??? padahal terakhir cuma pesen shopeefood. gimanaaa nih bisa balik gaaa????",hoee admin ini kenapa deh kok akun aku tiba tiba dibatasi padahal terakhir cuma pesen shopeefood gimanaaa nih bisa balik gaaa,hoee admin deh akun dibatasi pesen shopeefood gimanaaa gaaa,"['hoee', 'admin', 'deh', 'akun', 'dibatasi', 'pesen', 'shopeefood', 'gimanaaa', 'gaaa']",hoee admin deh akun dibatasi pesan shopeefood gimanaaa gaaa,"['hoee', 'admin', 'deh', 'akun', 'batas', 'pesan', 'shopeefood', 'gimanaaa', 'gaaa']"
@orenjigurin Akhirnya pake shopeefood☺️☺️☺️,@orenjigurin akhirnya pake shopeefood☺️☺️☺️,akhirnya pake shopeefood,pake shopeefood,"['pake', 'shopeefood']",pake shopeefood,"['pake', 'shopeefood']"
Terimakasih kepada bapak gofood grabfood shopeefood yang selalu menyelamatkan malam hariku rispekkk,terimakasih kepada bapak gofood grabfood shopeefood yang selalu menyelamatkan malam hariku rispekkk,terimakasih kepada bapak gofood grabfood shopeefood yang selalu menyelamatkan malam hariku rispekkk,terimakasih gofood grabfood shopeefood menyelamatkan malam hariku rispekkk,"['terimakasih', 'gofood', 'grabfood', 'shopeefood', 'menyelamatkan', 'malam', 'hariku', 'rispekkk']",terimakasih gofood grabfood shopeefood menyelamatkan malam hariku rispekkk,"['terimakasih', 'gofood', 'grabfood', 'shopeefood', 'selamat', 'malam', 'hari', 'rispekkk']"
Gofood gue drtd magrib ga dapet2 driver. Apa udah beralih ke shopeefood semua ya,gofood gue drtd magrib ga dapet2 driver. apa udah beralih ke shopeefood semua ya,gofood gue drtd magrib ga dapet driver apa udah beralih ke shopeefood semua ya,gofood gue drtd magrib dapet driver udah beralih shopeefood,"['gofood', 'gue', 'drtd', 'magrib', 'dapet', 'driver', 'udah', 'beralih', 'shopeefood']",gofood saya drtd magrib dapat driver udah beralih shopeefood,"['gofood', 'saya', 'drtd', 'magrib', 'dapat', 'driver', 'udah', 'alih', 'shopeefood']"
"@DikiPamuji @shopeefood_id Isi atuh,,, ginjal masih lengkap kan?😭","@dikipamuji @shopeefood_id isi atuh,,, ginjal masih lengkap kan?😭",id isi atuh ginjal masih lengkap kan,id isi atuh ginjal lengkap,"['id', 'isi', 'atuh', 'ginjal', 'lengkap']",id isi atuh ginjal lengkap,"['id', 'isi', 'atuh', 'ginjal', 'lengkap']"
@hahh_ai @shopeefood_id Ga pernah punya saldo shpepay😭,@hahh_ai @shopeefood_id ga pernah punya saldo shpepay😭,ai id ga pernah punya saldo shpepay,ai id saldo shpepay,"['ai', 'id', 'saldo', 'shpepay']",ai id saldo shpepay,"['ai', 'id', 'saldo', 'shpepay']"
"@DikiPamuji @shopeefood_id Bisa, tapi yg promo² gt kebanyakan pke shopeepay","@dikipamuji @shopeefood_id bisa, tapi yg promo² gt kebanyakan pke shopeepay",id bisa tapi yg promo gt kebanyakan pke shopeepay,id promo gt kebanyakan pke shopeepay,"['id', 'promo', 'gt', 'kebanyakan', 'pke', 'shopeepay']",id promo gt kebanyakan pke shopeepay,"['id', 'promo', 'gt', 'banyak', 'pke', 'shopeepay']"
"Tadi siang pas lb tbtb ditelp bolakbalik dari shopeefood, karena no nya ga kukenal jadi ga ku angkat ealah ternyata dikirimin maksi tbtb wkwk gemes banget🤣
Pantes kemarin tbtb nanya kantor ku yg belah mana, alibi nanya bandara segala si kampret🤣 ada aja idenya:) https://t.co/pa7Zn56urr","tadi siang pas lb tbtb ditelp bolakbalik dari shopeefood, karena no nya ga kukenal jadi ga ku angkat ealah ternyata dikirimin maksi tbtb wkwk gemes banget🤣
pantes kemarin tbtb nanya kantor ku yg belah mana, alibi nanya bandara segala si kampret🤣 ada aja idenya:) https://t.co/pa7zn56urr",tadi siang pas lb tbtb ditelp bolakbalik dari shopeefood karena no nya ga kukenal jadi ga ku angkat ealah ternyata dikirimin maksi tbtb wkwk gemes banget pantes kemarin tbtb nanya kantor ku yg belah mana alibi nanya bandara segala si kampret ada aja idenya,siang pas lb tbtb ditelp bolakbalik shopeefood no kukenal ku angkat ealah dikirimin maksi tbtb wkwk gemes banget pantes kemarin tbtb nanya kantor ku belah alibi nanya bandara kampret idenya,"['siang', 'pas', 'lb', 'tbtb', 'ditelp', 'bolakbalik', 'shopeefood', 'no', 'kukenal', 'ku', 'angkat', 'ealah', 'dikirimin', 'maksi', 'tbtb', 'wkwk', 'gemes', 'banget', 'pantes', 'kemarin', 'tbtb', 'nanya', 'kantor', 'ku', 'belah', 'alibi', 'nanya', 'bandara', 'kampret', 'idenya']",siang pas lb tbtb ditelp bolakbalik shopeefood no kukenal ku angkat ealah dikirimin maksi tbtb tertawa gemes banget pantes kemarin tbtb nanya kantor ku belah alibi nanya bandara kampret idenya,"['siang', 'pas', 'lb', 'tbtb', 'ditelp', 'bolakbalik', 'shopeefood', 'no', 'kenal', 'ku', 'angkat', 'ealah', 'dikirimin', 'maksi', 'tbtb', 'tertawa', 'gemes', 'banget', 'pantes', 'kemarin', 'tbtb', 'nanya', 'kantor', 'ku', 'belah', 'alibi', 'nanya', 'bandara', 'kampret', 'ide']"
"#DriverStory 
Iseng2 daftar aplikasi belanja makanan secara online alias #Shopeefood. 
Lupa daftar sejak kapan. Sepertinya waktu daftar merchant #ShopeeFood juga, sejak Juli dan baru dipanggil kmrn 10/10
Bayar untuk jaket, helm dan tas 450k","#driverstory 
iseng2 daftar aplikasi belanja makanan secara online alias #shopeefood. 
lupa daftar sejak kapan. sepertinya waktu daftar merchant #shopeefood juga, sejak juli dan baru dipanggil kmrn 10/10
bayar untuk jaket, helm dan tas 450k",iseng daftar aplikasi belanja makanan secara online alias lupa daftar sejak kapan sepertinya waktu daftar merchant juga sejak juli dan baru dipanggil kmrn bayar untuk jaket helm dan tas k,iseng daftar aplikasi belanja makanan online alias lupa daftar daftar merchant juli dipanggil kmrn bayar jaket helm tas k,"['iseng', 'daftar', 'aplikasi', 'belanja', 'makanan', 'online', 'alias', 'lupa', 'daftar', 'daftar', 'merchant', 'juli', 'dipanggil', 'kmrn', 'bayar', 'jaket', 'helm', 'tas', 'k']",iseng daftar aplikasi belanja makanan online alias lupa daftar daftar merchant juli dipanggil kmrn bayar jaket helm tas k,"['iseng', 'daftar', 'aplikasi', 'belanja', 'makan', 'online', 'alias', 'lupa', 'daftar', 'daftar', 'merchant', 'juli', 'panggil', 'kmrn', 'bayar', 'jaket', 'helm', 'tas', 'k']"
"How can it happen, pesen shopeefood dan ternyata drivernya temen sendiri. Untung mesennya bukan buat diri sendiri :)","how can it happen, pesen shopeefood dan ternyata drivernya temen sendiri. untung mesennya bukan buat diri sendiri :)",how can it happen pesen shopeefood dan ternyata drivernya temen sendiri untung mesennya bukan buat diri sendiri,how can it happen pesen shopeefood drivernya temen untung mesennya,"['how', 'can', 'it', 'happen', 'pesen', 'shopeefood', 'drivernya', 'temen', 'untung', 'mesennya']",how can it happen pesan shopeefood drivernya temen untung mesennya,"['how', 'can', 'it', 'happen', 'pesan', 'shopeefood', 'drivernya', 'temen', 'untung', 'mesennya']"
langit bisakah kau turunkan 100 perak agar aku bisa makan karena aku order shopeefood totalnya 24.500 saldoku 24.427 terima kasih langit,langit bisakah kau turunkan 100 perak agar aku bisa makan karena aku order shopeefood totalnya 24.500 saldoku 24.427 terima kasih langit,langit bisakah kau turunkan perak agar aku bisa makan karena aku order shopeefood totalnya saldoku terima kasih langit,langit kau turunkan perak makan order shopeefood totalnya saldoku terima kasih langit,"['langit', 'kau', 'turunkan', 'perak', 'makan', 'order', 'shopeefood', 'totalnya', 'saldoku', 'terima', 'kasih', 'langit']",langit kau turunkan perak makan order shopeefood totalnya saldoku terima kasih langit,"['langit', 'kau', 'turun', 'perak', 'makan', 'order', 'shopeefood', 'total', 'saldo', 'terima', 'kasih', 'langit']"
Yang bikin males jajan via shopeefood tuh karena banyak biaya ga terduganya. Belum include uang parkir driver dan tips https://t.co/I4ICO0pKHu,yang bikin males jajan via shopeefood tuh karena banyak biaya ga terduganya. belum include uang parkir driver dan tips https://t.co/i4ico0pkhu,yang bikin males jajan via shopeefood tuh karena banyak biaya ga terduganya belum include uang parkir driver dan tips,males jajan via shopeefood biaya terduganya include uang parkir driver tips,"['males', 'jajan', 'via', 'shopeefood', 'biaya', 'terduganya', 'include', 'uang', 'parkir', 'driver', 'tips']",males jajan via shopeefood biaya terduganya include uang parkir driver tips,"['males', 'jajan', 'via', 'shopeefood', 'biaya', 'duga', 'include', 'uang', 'parkir', 'driver', 'tips']"
@tanyaindeca lagi asik banget yee shopeefood,@tanyaindeca lagi asik banget yee shopeefood,lagi asik banget yee shopeefood,asik banget yee shopeefood,"['asik', 'banget', 'yee', 'shopeefood']",asik banget yee shopeefood,"['asik', 'banget', 'yee', 'shopeefood']"
"Driver shopeefood sampe udah hafal harus nganter kemana""nya 🤣

Tiap hari jajan temu orang"" Yg itu itu juga🤣

Tidur ah besok lembur lagi

Siapa tau bangun"" Jadi 2T lebih 300🤣

Babay❤ https://t.co/hGOO06BHKn","driver shopeefood sampe udah hafal harus nganter kemana""nya 🤣

tiap hari jajan temu orang"" yg itu itu juga🤣

tidur ah besok lembur lagi

siapa tau bangun"" jadi 2t lebih 300🤣

babay❤ https://t.co/hgoo06bhkn",driver shopeefood sampe udah hafal harus nganter kemananya tiap hari jajan temu orang yg itu itu juga tidur ah besok lembur lagi siapa tau bangun jadi t lebih babay,driver shopeefood sampe udah hafal nganter kemananya jajan temu orang tidur ah besok lembur bangun babay,"['driver', 'shopeefood', 'sampe', 'udah', 'hafal', 'nganter', 'kemananya', 'jajan', 'temu', 'orang', 'tidur', 'ah', 'besok', 'lembur', 'bangun', 'babay']",driver shopeefood sampe udah hafal nganter kemananya jajan temu orang tidur ah besok lembur bangun babay,"['driver', 'shopeefood', 'sampe', 'udah', 'hafal', 'nganter', 'mana', 'jajan', 'temu', 'orang', 'tidur', 'ah', 'besok', 'lembur', 'bangun', 'babay']"
Suka iri sama orang yang bisa grabfood gofood atau shopeefood lihat lah betapa jauhnya rumah aku dari kota🥲 https://t.co/Ye1lGykO5i,suka iri sama orang yang bisa grabfood gofood atau shopeefood lihat lah betapa jauhnya rumah aku dari kota🥲 https://t.co/ye1lgyko5i,suka iri sama orang yang bisa grabfood gofood atau shopeefood lihat lah betapa jauhnya rumah aku dari kota,suka iri orang grabfood gofood shopeefood lihat betapa jauhnya rumah kota,"['suka', 'iri', 'orang', 'grabfood', 'gofood', 'shopeefood', 'lihat', 'betapa', 'jauhnya', 'rumah', 'kota']",suka iri orang grabfood gofood shopeefood lihat betapa jauhnya rumah kota,"['suka', 'iri', 'orang', 'grabfood', 'gofood', 'shopeefood', 'lihat', 'betapa', 'jauh', 'rumah', 'kota']"
